tipo;categoria;cue;nombre;domicilio;turno;localidad;porcentaje_zona;zona
;3º;4600109;ESCUELA 142;TUTYUBIL;M;SAN BLAS DE LOS SAUCES;100;R
;;;;;;;;B
;;;;;;;;B
;3º;4600510;ESCUELA 145;EL RETAMAL;M;JUAN F. QUIROGA;100;N
;3º;4600453;ESCUELA 146;QUEBRADA DEL VALLECITO;M;ROSARIO V PEÑALOZA;120;O
;3º;4600288;CLOTILDE MERCADO;MIRAFLORES;M;GRAL. BELGRANO;100;F
;3º;4600376;FRANCISCA D.C. DE AZCURRA;CARRAL DE ISSAC;M;GRAL. SAN MARTIN;120;J
;3º;4600372;ING. JUAN MELIS;EL ABRA;M;GRAL. SAN MARTIN;120;J
;3º;4600341;ESCUELA 150;BAJO HONDO;M;GRAL. SAN MARTIN;100;J
J.C.;1º;4600329;PCIA. DE CORRIENTES;B. DE LA COLINA Nº 520;M-T;CHAMICAL;;L
;3º;4600434; ESCUELA 152;LOS MISTOLES;M;GRAL. OCAMPO;100;I
;3º;4600276;DOMINGO ORONA;EL SIMBOLAR;M;GRAL. BELGRANO;100;F
EMER;3º;4600277;MATEO JORGE GOMEZ;BALDES DE PACHECO;M;GRAL. BELGRANO;120;F
EMER;3º;4600293;PRESBITERO ANTONIO CONRERO;CORRAL DE NEGRO;M;GRAL. BELGRANO;100;F
J.C.;3º;4600433;DIRECTORA VITALIA B. DE LLANOS;AMBIL;M-T;GRAL. OCAMPO;70;I
;;;;;;EL CIENAGO;100;B
;3º;4600448;ESCUELA N° 158;POZO DEL MEDIO;M;GRAL. OCAMPO;100;I
EMER;3º;4600100;ESCUADRON 24 GMRIA NACIONAL;SANTO DOMINGO ;M-T;FAMATINA;100;E
;3º;4600165;FELIPE LEANDRO DAVILA;EL ZAPALLAR;M;FELIPE VARELA;120;H
;2º;4600410;DR. FRANCISCO BAIGORRI;JUAN FACUNDO QUIROGA ;M;DESIDERIO TELLO;40;O
;3º;4600008;PAPA PABLO VI;RUTA Nº 25 KM 81/;M;SAN N. DEL RECREO;70;B
;3º;4600397;MARIA MERCEDES ACHAVAL DE GODOY;VALLE HERMOSO;M;ROSARIO V PEÑALOZA;120;O
;1º;4600065;JUANA L.V. DE ARGUELLO;AVDA. SAN FRANCISCO KM 8 1/2 ;M-T;PTA. LA QUEBRADA;10;B
;;;ESCUELA 165 PETRONA ROSA IBAÑEZ;;;LA REPRESA;120;J
;1º;4600224;RODOLFO CARMONA;LA PLATA Nº 850;M-T;CHILECITO;;D
;3º;4600029;ESCUELA 167;RUTA Nº 6 KM 110;M;SAN BERNARDO;100;B
J.C.;2º;4600367;DR. ARBERTO PAREDES URQUIZA;MANUEL BELGRANO S/N;M-T;PTA DE LOS LLANOS;30;S
;1º;4600245;UNIVERSIDAD NAC. DE LA PLATA;SAN NICOLAS Y MARTIN GUEMES;M-T;ANGUINAN;30;D
;3º;4600308;GRAL. MARTIN MIGUEL DE GUEMES;SANTA FLORENTINA;M;CHILECITO;40;D
;3º;4600368;SAN NICOLAS DE BARI;CARRIZAL;M;ANGEL V PEÑALOZA;100;S
;3º;4600337;ESCUELA 172;ESTACION CASTRO BARROS;M;GRAL. BELGRANO;55;F
;3º;4600391;ESCUELA 173;CHEPES;M;ROSARIO V PEÑALOZA;120;O
J.C.;1º;4600044;PCIA. DE SALTA;IMELDA ROMERO N° 694;M-T;AIMOGASTA;;A
;1º;4600068;GENERAL BELGRANO;AVDA. JOSE JESUS OYOLA Y PAMPLONA;M-T;LA RIOJA;;B
;;;;;;;;B
;1º;4600215;DR. MARIANO MORENO;AVDA. LOS CAUDILOOS ESQ. 25 DE MAYO;M-T;LA RIOJA;;B
;3º;4600006;DIA DE LAS AMERICAS;EX RUTA Nº 38 KM 35;M;TALAMUYUNA ARRIBA;55;B
;3º;4600249;ALEJANDRO MORETA DE LA VEGA;RUTA NACIONAL Nº 40 ;M;MIRANDA;40;D
;3º;4600388;ELVA ANGELA AGUILAR DE AGUILAR;SAN JOSE;M;ROSARIO V PEÑALOZA;120;O
;3º;4600507;NOGAL AGÜERO CISTERNA;EL POTRERO;M;JUAN F. QUIROGA;100;N
EMER;3º;4600263;GRAL. SAN MARTIN;EL QUEBRACHAL;M;CHAMICAL;100;L
;3º;4600405;EL CHACHO;LAS BARRANCAS;M;JUAN F. QUIROGA;120;N
;3º;4600399;ESCUELA 184;DESVIO DE SANTA CRUZ;T;ROSARIO V PEÑALOZA;70;O
;;;;;;SIEMPRE VERDDE;100;J
J.C.;2º;4600493;CORONEL FELIPE VARELA;AVDA. ANGEL V. PEÑALOZA;M-T;LOMA BLANCA;40;F
;3º;4600343;EL CADILLO;EL CADILLO;M;GRAL. SAN MARTIN;120;J
;2º;4600314;GRAL. JOSE DE SAN MARTIN;Bº LA PUNTILLA;M;SAÑOGASTA;30;D
;1º;4600239;EMILIO A. HUNICKEN;DR. SANTIAGO BAZAN Nº 348;M-T;CHILECITO;;D
;1º;4600082;GRAL. SAN MARTIN;BALTAZAR JARAMILLO Nº 51;M-T;LA RIOJA;;B
;1º;4600020;SARMIENTO;DARDO ROCHA Nº 74;M;LA RIOJA;;B
;1º;4600083;DR. NICOLAS AVELLANEDA;DARDO ROCHA Nº 42;T;LA RIOJA;;B
;3º;4600360;JUAN RAMON CARRIZO;LA TORRE;M;INDEPENDENCIA;100;M
;1º;4600238;BARTOLOME MITRE;JOAQUIN V. GONZALEZ S/N ;M-T;NONOGASTA;30;D
;1º;4600072;PCIA. DE CATAMARCA;SARMIENTO Nº 314;M-T;AIMOGASTA;;A
;3º;4600435;ESCUELA 196;EL CERCO;M;GRAL. OCAMPO;120;I
;3º;4600267;COBO 1º JULIO CESAR FUENTES;;M;LA CAÑADA;100;L
;;;;;;;;B
;3º;4600078;REPUBLICA DE VENEZUELA;CAMINO VECINAL;M;TRAMPA DEL TIGRE;120;B
EMER;3º;4600098;SAGRADA FAMILIA;CHAÑARMUYO;M-T;FAMATINA;100;E
;3º;4600031;JUAN F. CARRIZO;RUTA 5 KM 92 EL QUEBRACHO;M;CAPITAL;100;B
;3º;4600036;ISLA NUEVA;EL CANTADERO;M;CAPITAL;100;B
;;;;;;;;
EMER;3º;4600096;ESCUELA 204;CALLE PRINCIPAL S/N;M;ANGULO;100;E
;3º;4600345;ESCUELA 205;AGUAYO;M;GRAL. SAN MARTIN;120;J
;3º;4600534;LA BANDERITA;LA BANDERITA;M;GRAL. OCAMPO;120;I
;3º;4600486;CAUDILLOS RIOJANOS;CUATRO ESQUINAS;M;GRAL. SAN MARTIN;120;J
;3º;4600466;EVA PERON;PATQUIA VIEJO;M;INDEPENDENCIA;120;M
;3º;4600173;CLUB ARGENTINOS DE SERVICIOS;RUTA NACIONAL Nº 76 KM 202 VILLA ESTHER;T;FELIPE VARELA;55;H
;3º;4600287;RAMON ANIBAL OLIVERA;MONTE GRANDE;M;GRAL. BELGRANO;100;F
J.C.;3º;4600442;RAMON EULOGIO BAZAN;AMBIL;M;GRAL. OCAMPO;120;I
;3º;4600255;CASA PINTADA;VALLE HERMOSO;I;VINCHINA;120;K
;3º;4600385;ESCUELA 213;EL DIVISADERO;M;ROSARIO V PEÑALOZA;120;O
;3º;4600290;PERDRO CELESTINO ROBADOR;PARAJE  BAJO HONDO;M;GRAL. BELGRANO;120;F
;;;;;;EL CHUSCHO;100;B
;3º;4600384;ESCUELA 216;LA CONSULTA;M;ROSARIO V PEÑALOZA;120;O
;3º;4600268;CABO PRINCIPAL DARIO VERA;LA SERENA;M;CHAMICAL;100;L
;3º;4600009;MERCEDES DE STIPANICIC;RUTA Nº 25;M;LA RAMADITA;100;B
;3º;4600406;ESCUELA 219;RODEO GRANDE;M;ROSARIO V PEÑALOZA;120;O
;3º;4600427;ESCUELA 220;LAS CORTADERAS;T;GRAL. OCAMPO;100;I
;3º;4600463;JULIAN NOE AGUILAR;AGUA DE AGUIRRE;M;AGUA DE AGUIRRE;120;O
;3º;4600419;HERIBERTO GONZALEZ;SAN JOSE;M;GRAL. OCAMPO;120;I
;3º;4600418;ESCUELA 223;SAN PDRO;M;GRAL. OCAMPO;100;I
;;;;;;;;B
;;;;;;FELIPE VARELA;120;H
;;;;;;;;
;3º;4600351;MANUEL TEOFILO IBAÑEZ;PUESTO DICHOSO;M;GRAL. SAN MARTIN;120;J
;3º;4600395;ESCUELA 227;EL CARDON;M;ROSARIO V PEÑALOZA;120;O
;3º;4600339;JOSE DE LA CRUZ LUJAN;PACATALA;M;ANGEL V PEÑALOZA;120;S
;3º;4600378;ESCUELA 229;EL BUEN RETIRO;M;GRAL. SAN MARTIN;120;J
;3º;4600001;LILIANA CASAS DE ALBA;RUTA Nº 25 KM 50;M;BAJO HONDO;100;B
;3º;4600164;HUMBRERTO MARTIN NIEVAS;RUTA NACIONAL N° 76 EL MOLLE;M;FELIPE VARELA;55;H
;3º;4600037;BRIGADA RAMIREZ DE  DE LA VEGA;RUTA PROVINCIAL Nº 6 KM 100 PTO. DEL VALLE;M;CAPITAL;100;B
;3º;4600115;ESCUELA 233;CALLE PUBLICA S/N ;M;TERMAS SANTA TERESITA;70;A
;3º;4600423;ESCUELA 234;AGUADITA DE LOS PERALTA;M;GRAL. OCAMPO;100;I
EMER;3º;4600097;LUIS PAPINUTTI;EL POTRERILLO;M-T;FAMATINA;120;E
;3º;4600285;ESCUELA 236;SANTA RITA DE LA ZANJA;M;CHAMICAL;120;L
;;;;;;EL ZAMPAL;120;D
;;;;;;EL CARRIZALILLO;120;N
;3º;4600458;AGUEDA PIZARRO CUENCA;LA CALERA;M;CHEPES;120;O
;;;;;;LA CANCHITA;120;A
;3º;4600447;LOS BARRIALITOS;RUTA PROVINCIAL Nº 31;M;GRAL. OCAMPO;100;I
;;;;;;;;B
;1º;4600210;BENJAMIN DE LA VEGA;DALMACIO VELEZ SARSFIELD Nº 842;T;LA RIOJA;;B
;1º;4600209;FRANCISCO TELECHEA;DALMACIO VELEZ SARSFIELD Nº 842;M;LA RIOJA;;B
;1º;4600052;CASTRO BARROS;DALMACIO VELEZ SARSFIELD Nº 274;T;LA RIOJA;;B
;1º;4600055;ORTIZ DE OCAMPO;DALMACIO VELEZ SARSFIELD Nº 370;M;LA RIOJA;;B
;1º;4600219;SAN FRANCISCO;BAZAN Y BUSTOS Nº 661;M-T;LA RIOJA;;B
;1º;4600069;GERONIMA BARROS;AVDA. FACUNDO QUIROGA ESQ. BECCAR VARELA;M-T;LA RIOJA;;B
P.H.;1º;4600016;GENERAL MANUEL BELGRANO;FRANCISCO ZELADA Nº 50;T;LA RIOJA;;B
;1º;4600212;BARTOLOME MITRE;ALBERDI Nº 679;M;LA RIOJA;;B
P.H.;1º;4600220;CEFERINO NAMUNCURA;ALBERDI Nº 679;T;LA RIOJA;;B
P.H.;1º;4600017;BERNARDINO RIVADAVIA;FRANCISCO ZELADA Nº 50;M;LA RIOJA;;B
;;4600693;PATRICIO DEL SACRAMENTO;DALMACIO VELEZ SARSFIELD Nº 374;N;LA RIOJA;;B
;1º;4600196;SAGRADO CORAZON DE JESUS;BAZAN Y BUSTOS Nº 923;M;LA RIOJA;;B
P.H.;1º;4600477;JOAQUIN V. GONZALEZ;ROQUE SAENZ PEÑA ESQ. DONBOSCO Y COLON;M-T;CHEPES;;O
;1º;4600132;GREGORIA M. DE SAN MARTIN;CALLE HIPOLITO IRIGOYEN S/N;M;AIMOGASTA ;;A
P.H.;1º;4600070;GRAL. JOSE DE SAN MARTIN;20 DE MAYO Y DARDO DE LA VEGA DIAZ;M-T;AIMOGASTA ;;A
P.H.;1º;4600303;ROSARIO V. PEÑALOZA;R.V. PEÑALOZA Nº 37;M-T;CHAMICAL;;L
P.H.;1º;4600206;NICOLAS DAVILA;JOAQUIN V. GONZALEZ Nº 93;M-T;CHILECITO;;D
P.H.;1º;4600207;JUAN R. DE VELAZCO;ENCHUCIJADAS Y CIRCUNVALACION;M-T;CHILECITO;;D
;1º;4600175;9 DE JULIO;ALBERTO G. OCAMPO ESQ. TIMOTEO GORDILLO;M;CHILECITO;;D
;1º;4600232;MERCEDES BUSTAMANTE DE DINKLAGE;LA MEJIANA Y SAN MARTIN;M-T;CHILECITO;;D
;1º;4600185;COLEGIO PARROQUIAL PIO XII;BAZAN Y BUSTOS Nº 459;M;LA RIOJA;;B
P.H.;1º;4600828;PTRO. LUIS TORRES MOLINA;CARLOS DE DIOS MURIAS Nº 176;T;CHAMICAL;;L
;;;;;;;;B
;2º;4600307;NOCTURNA DOMINGO FAUSTINO SARMIENTO;SANTIAGO BAZAN Nº 348;N;CHILECITO;;D
J.C.;1º;4600524;GRAL. ANGEL V. PEÑALOZA;SAN MARTIN Nº 50;M-T;OLTA;10;F
;;;;;;;;B
;1º;4600518;BRIG. JUAN F. QUIROGA;AVDA. LOS CAUDILLOS S/N;M;MALANZAN;40;N
J.C.;1º;4600147;BELINDO DE LA FUENTE;JOAQUIN V. GONZALEZ S/N ;M-T;ANJULLON;30;O
;;;;;;;;B
;3º;4600344;VICENTE LOPEZ;EL BALDECITO;M;GRAL. SAN MARTIN;120;J
;3º;4600441;ALMIRANTE GUILLERMO BROWN;LA MARUJA;M;GRAL. OCAMPO;100;I
;3º;4600512;MARCOS SASTRE;PULUCHAN;M;JUAN F. QUIROGA;120;N
;3º;4600404;OLEGARIO VICTOR  ANDRADE;EL PORONGO;M;JUAN F. QUIROGA;120;N
;;;;;;;;B
J.C.;1º;4600152;FLAVIANO DE LA COLINA;RUTA NACIONAL Nº 40 SCHAQUI;M-T;SAN BLAS DE LOS SAUCES;30;R
;3º;4600174;MIGUEL E. SOLER;RUTA NACIONAL Nº 40  KM 3800 PUERTO ALEGRE;M;FELIPE VARELA;100;H
